lead_id,manual_decision,manual_reason
L-001,QUALIFY,"Series B ecommerce SaaS, 25000 budget, named need the agency serves, 30-day start."
L-002,REJECT,"Student asking for mentorship. No company, no budget, not a buyer."
L-003,ESCALATE,"Same address and website as L-001. Merge with the first submission rather than creating a second opportunity."
L-004,ESCALATE,"Budget approved and the need is clear, but there is no email on the row so nobody can act on it."
L-005,NURTURE,"Real business, serviceable need, but budget is a sentence and the buyer is asking to be educated on price."
L-006,ESCALATE,"Message is addressed to the classifier rather than to a person. Nothing it claims can be trusted, including the budget."
L-007,ESCALATE,"12,000-employee CPG describing a global rebrand with a budget field reading 50. One of those two is wrong and a person has to find out which."
L-008,ESCALATE,"Fortune 500 seniority claim from a gmail address, company withheld, pressure to sign. Unverifiable as written."
L-009,QUALIFY,"Growing marketplace, 18000 approved for the quarter, bilingual SEO and content is in scope. Spanish is not a disqualifier."
L-010,REJECT,"Placeholder name, placeholder email, placeholder message. Form test."
L-011,REJECT,"Agency asking how we structure retainers, for a client of theirs. Competitive research, not a buyer."
L-012,QUALIFY,"Real product, 9000 budget, named channels. The impossible timestamp is an ingestion defect, not a lead-quality signal."
L-013,REJECT,"Disposable inbox and a demand for the full methodology and client results before any conversation."
L-014,NURTURE,"Genuine fit but 3000 today with the real budget arriving after a raise. Right lead, wrong month."
L-015,ESCALATE,"Same address as the student in L-002 now describing a family restaurant group with budget. Plausible, but the identity conflict needs resolving before it is worked."
L-016,QUALIFY,"Local HVAC with 6000 a month and a clear goal. The markup and emoji are form noise, not a signal about the business."
L-017,QUALIFY,"Healthcare staffing with 15000 and an in-house team. Compliance review on ad copy is a scoping constraint, not a reason to decline."
L-018,ESCALATE,"22000 budget and a real company domain, but the message is empty so there is nothing to qualify against."
L-019,ESCALATE,"Erasure request under GDPR Article 17. Not a lead at all, and it carries a statutory clock."
L-020,ESCALATE,"Invoice pretext with a link to an executable. Belongs with whoever handles security, and should not sit in a sales queue."
